mcule_id	smiles	insoluble
M1114753	O=C([C@H](CC1=CC=CC=C1)N1C(=O)C2=CC=CC=C2C1=O)N1CCCCC1	0
M1114754	CC1=C(C)CC2C(C1)C(=O)N(C2=O)C1=CC=CC(O)=C1	0
M1114755	CC1=C(C)CC2C(C1)C(=O)N(C2=O)C1=CC=C(I)C=C1	0
M759494	CCCCN1C(=O)NC2=C(CCC2)C1=O	0
M1114756	CC1=NC2=C(S1)C=CC1=C2C=CC2=C1N=C(C)S2	1
M759518	CC(C)OC(=O)NC1=CC=C(Br)C=C1	0
M759519	O=C(NC1=CC=CC=C1)OC1CCCCC1	0
M1114757	CCCCCCCOC(=O)NC1=CC=C(C)C=C1	0
M1051166	CC1=CC=CC=C1C=C1C(=O)C2=CC=CC=C2C1=O	0
M1073412	O=C(NCCOC1=CC=CC=C1)C1CCCCC1	0
M1114758	NC(=O)C1=CC(F)=C(F)C=C1Cl	0
M1114759	CC1=NN=C(NC(=O)NC2=CC=CC=C2)S1	0
M1114760	CCC1=NN=C(NC(=O)NC2=CC=CC=C2)S1	0
M1114761	O=C(CC12CC3CC(CC(C3)C1)C2)NCC1=CC=CC=C1	0
M759575	CC(C)(C)C1(C)OC(C(O1)C(=O)NC1CCCCC1)C(=O)NC1CCCCC1	0
M1114762	CC(C)S(=O)(=O)C1=CC=C(Cl)C=C1	0
M1059837	CC(NC(=O)C1=CC(C)=C(Cl)C=C1Cl)C1CC1	0
M12709	O=C(C=CC(=O)C1=CC=CC=C1)C1=CC=CC=C1	0
M1114763	COC1=CC=C(C=C1)N(C(C)C1CC1)C(=O)NC1=CC=C(Cl)C=C1	0
M730843	CC(C1CC1)N(CC1=CC=CC=C1)C(=O)NC1=CC=C(Cl)C=C1	0
M1051163	CC(C)CC(=O)NC(NC1=CC=C(O)C=C1)C(Cl)(Cl)Cl	0
M1051164	CC(C)CC(=O)NC(NC1=CC=CC(=C1)[N+]([O-])=O)C(Cl)(Cl)Cl	0
M759626	CC1=NC(C#N)=C(O1)N1CCOCC1	0
M1051165	CC(C)CC(=O)NC(C(Cl)(Cl)Cl)S(=O)(=O)C1=CC=CC=C1	0
M1073089	CC1=CC=C(C=C1N)S(=O)(=O)C(F)(F)F	0
M749260	OC(=O)CCC12CC3CC(CC(C3)C1)C2	0
M759643	COC(=O)C12CC3CCC(CC(C1)(C(=O)OC)C3=O)C2=O	0
M759669	ClC1=CC=C(NC(=O)NC2=CC=C3COC(=O)C3=C2)C=C1	0
M1061177	CC(=O)C(C(C)=O)=C1NC2=CC=CC=C2N1	0
M1114764	ClC1=CC=C(C=C1)S(=O)(=O)N1C(=O)C2=CC=CC3=C2C1=CC=C3	0
M1051378	COC1=CC=C(C=C1)C1=NC2=C(C3=C(CCCC3)S2)C(=O)O1	0
M1051472	OC(=O)C(O)=O.CCOC(=O)C1=C(C)C(C(=O)OCC)=C(NC(=O)CN(CC)CC)S1	0
M1114765	CN1C=CN=C1SCC(=O)C1=CC=C(O)C(O)=C1	0
M1114766	O=C(C1=CC=CS1)C1=C(C=C2C=CC=CN12)C1=CC=CC=C1	0
M1051475	O=C(C(C#N)C1=NC2=C(N1)C=CC=C2)C1=CC=C(OC2=CC=CC=C2)C=C1	0
M1051474	OC(COC1=CC=CC=C1CC=C)CN1CCOCC1	0
M759821	CC1=NN(C(=C1)C1=CC=CC=C1)C1=NC(C)=CC(C)=N1	0
M1114767	NC1=NC2(CCCCC2)N(C(N)=N1)C1=CC=CC(Cl)=C1	0
M759851	COC1=CC=C2CC(=O)N(CC3=CC=CC=C3)C(=O)C2=C1	0
M1051478	CN1C(C2=CC=CC(=C2)[N+]([O-])=O)C2=C(CCCC2=O)N(C)C1=O	0
M759856	O=C1NC(C2=CC=C3OCOC3=C2)C2=C(CCCC2=O)N1	0
M1114768	CCOC(=O)C(C)OC1=CC=C2C(OC=C(C3=CSC(C)=N3)C2=O)=C1	0
M759893	COC1=CC=CC(=C1)N(CN1C(=O)C2=CC=CC=C2C1=O)C(C)=O	0
M1114769	O=C1C(=COC2=C1C=CC1=C2OCCO1)C1=CC=C2OCCCOC2=C1	0
M759909	ClC1=CC=C2C(=O)C=C(OC2=C1)C1=CC=C2OCCOC2=C1	0
M759911	O=C1CCCC2=C1C(NC(=S)N2)C1=CC=CC=C1	0
M759938	ClC1=CC=C(SC2C(=O)CCCC2=O)C=C1	0
M1114770	CC1=CC=C(C=C1)C1OC2(C3C1C(=O)N(C3=O)C1=CC=C(C)C=C1)C(=O)C1=CC=CC=C1C2=O	0
